Product name in Flipkart,Retail price in Flipkart,Discounted price in Flipkart,Product id,Product category in Flipkart,Product name in Amazon,Retail price in Amazon,Discounted price in Amazon,Product category,match
Veelys Shiny White Quad Roller Skates - Size 4.5 UK,3199.0,2499.0,SKTEC88WSNYJKWY7,SportsFitness,VEELYS SHINY WHITE QUAD ROLLER SKATES - SIZE 4.5 UK,3193,2835,SportsFitness,1
Bulaky vanity case Jewellery Vanity Case,499.0,390.0,VANDZY4YZFPEG85T,BeautyandPersonalCare,BULAKY VANITY CASE JEWELLERY VANITY CASE,488,490,BeautyandPersonalCare,1
FDT Women's Leggings,699.0,309.0,LJGEB2KMCMMHHFC7,Clothing,FDT WOMEN'S Leggings Pants,698,362,Clothing,1
Madcaps C38GR30 Men's Cargos,2199.0,1699.0,CRGE6A53UX7CJMXX,Clothing,MADCAPS C38GR30 MEN'S CARGOS,2183,2100,Clothing,1
Bengal Blooms Rose Artificial Plant  with Pot,799.0,579.0,ARPEGDHSXZJSHGSN,BengalBloomsRoseArtificialPlantwithPot3,BENGAL BLOOMS ROSE ARTIFICIAL PLANT  WITH POT,783,710,BengalBloomsRoseArtificialPlantwithPot3,1
Indcrown Net Embroidered Semi-stitched Lehenga Choli Material,999.0,699.0,FABEJX2NHNKCYHKA,Clothing,INDCROWN NET EMBROIDERED SEMI-STITCHED LEHENGA CHOLI MATERIAL,994,854,Clothing,1
Shopmania Music Band A5 Notebook Spiral Bound,499.0,275.0,DIAEJ6Z8BEDTGGYY,PensStationery,SHOPMANIA MUSIC BAND A5 NOTEBOOK SPIRAL BOUND,483,347,PensStationery,1
Shopmania Music Band A5 Notebook Spiral Bound,499.0,275.0,DIAEJ6Z8KQFWDEGH,PensStationery,SHOPMANIA MUSIC BAND A5 NOTEBOOK SPIRAL BOUND,487,330,PensStationery,1
"Tiara Diaries 2016-2017 Designer LA Kaarta ""TAKING ACTION GETTING RESULT"" (Set of 3) B5 Notebook Hard Bound",1000.0,837.0,DIAEJ8FGHZ3K86JU,PensStationery,"TIARA DIARIES 2016-2017 DESIGNER LA KAARTA ""TAKING ACTION GETTING RESULT"" (SET OF 3) B5 NOTEBOOK HARD BOUND",993,1019,PensStationery,1
KAJCI Embroidered Women's Waistcoat,1200.0,699.0,WSCEG2FYDYFDSVZ6,Clothing,KAJCI EMBROIDERED WOMEN'S WAISTCOAT,1183,822,Clothing,1
Packman 8 x 10 inches Security Bags Without POD Jacket Courier Bag Security Bag,350.0,298.0,PKBEGBTRKKHU26YQ,PensStationery,PACKMAN 8 X 10 INCHES SECURITY BAGS WITHOUT POD JACKET COURIER BAG SECURITY BAG,347,343,PensStationery,1
Pick Pocket Embroidered Women's Waistcoat,899.0,899.0,WSCEFUV4TVWT73ZB,Clothing,PICK POCKET EMBROIDERED WOMEN'S WAISTCOAT,886,1167,Clothing,1
Angelfish Silk Potali Potli,999.0,399.0,PPSEGFYAGD8FYUXV,BagsWalletsBelts,ANGELFISH SILK POTALI POTLI,983,482,BagsWalletsBelts,1
Oye Boy's Dungaree,899.0,764.0,DRPEF2XSFBAP4SUZ,Clothing,OYE BOY'S DUNGAREE,893,985,Clothing,1
Nuride Canvas Shoes,1999.0,1349.0,SHOEGVQCT2ZSGUHY,Footwear,NURIDE CANVAS SHOES,1990,1625,Footwear,1
OM SHIVAKRITI Square wall Clock Showpiece  -  38.1 cm,1499.0,1499.0,SHIEHS7XJ954NRYY,HomeDecorFestiveNeeds,OM SHIVAKRITI SQUARE WALL CLOCK SHOWPIECE  -  38.1 CM,1480,1786,HomeDecorFestiveNeeds,1
Himmlisch ST381 Magnetic Sun Shade For Maruti Alto,6999.0,1899.0,SUDEJFBRVYEUZUDH,Automotive,HIMMLISCH ST381 MAGNETIC SUN SHADE FOR MARUTI ALTO,6990,2313,Automotive,1
Rapter BNC-179 BNC Wire Connector,2299.0,1400.0,WJCEHF8GZSQWZY7Z,ToolsHardware,RAPTER BNC-179 BNC WIRE CONNECTOR,2279,1582,ToolsHardware,1
Vishudh Printed Women's Straight Kurta,999.0,499.0,KTAEHE9HAED4VUQB,VishudhPrintedWomensStraightKurta,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,987,562,VishudhPrintedWomensStraightKurta,1
Vishudh Printed Women's Straight Kurta,899.0,449.0,KTAEHE9KFCMVVSBN,VishudhPrintedWomensStraightKurta,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,892,556,VishudhPrintedWomensStraightKurta,1
Vishudh Printed Women's Anarkali Kurta,2099.0,1049.0,KTAEHE9KEZBBQHYA,VishudhPrintedWomensAnarkaliKurta,VISHUDH PRINTED WOMEN'S ANARKALI KURTA,2089,1161,VishudhPrintedWomensAnarkaliKurta,1
BuildTrack PIR Wireless Motion Sensor - One Switch Control Wireless Sensor Security System,6500.0,5000.0,SSSEHDP9RFW7ZGNG,BuildTrackPIRWirelessMotionSensorOneSwit,BUILDTRACK PIR WIRELESS MOTION SENSOR - ONE SWITCH CONTROL WIRELESS SENSOR SECURITY SYSTEM,6482,6153,BuildTrackPIRWirelessMotionSensorOneSwit,1
Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER Wired Sensor Security System,9990.0,4990.0,SSSEHFZ2TRZBAPF9,SkayvonSUMMERSIBLESINGLEPHASEPUMPCONTROLLER,SKAYVON SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER WIRED SENSOR SECURITY SYSTEM,9972,6022,SkayvonSUMMERSIBLESINGLEPHASEPUMPCONTROLLER,1
MASARA Solid Women's Straight Kurta,1399.0,599.0,KTAEHETWXZYYG35G,MASARASolidWomensStraightKurta,MASARA SOLID WOMEN'S STRAIGHT KURTA,1396,686,MASARASolidWomensStraightKurta,1
Vishudh Printed Women's Straight Kurta,899.0,449.0,KTAEHE9KPZU5JK2P,VishudhPrintedWomensStraightKurta,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,887,544,VishudhPrintedWomensStraightKurta,1
Rapter BNC-047 BNC Wire Connector,1299.0,899.0,WJCEHF8JMMZWPYYG,ToolsHardware,RAPTER BNC-047 BNC WIRE CONNECTOR,1288,1023,ToolsHardware,1
Skayvon SUBMERSIBBLE THREE PHASE PUMP CONTROLLER Wired Sensor Security System,8999.0,4990.0,SSSEHFZ34KRWYGSH,SkayvonSUBMERSIBBLETHREEPHASEPUMPCONTROLLER,SKAYVON SUBMERSIBBLE THREE PHASE PUMP CONTROLLER WIRED SENSOR SECURITY SYSTEM,8979,5877,SkayvonSUBMERSIBBLETHREEPHASEPUMPCONTROLLER,1
Vishudh Printed Women's Straight Kurta,899.0,449.0,KTAEHE9K8CQJMQCV,VishudhPrintedWomensStraightKurta,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,888,554,VishudhPrintedWomensStraightKurta,1
Behringer Xenyx 502 Analog Sound Mixer,10000.0,6600.0,SNMEHEYXQCEW3JCQ,BehringerXenyx502AnalogSoundMixer,BEHRINGER XENYX 502 ANALOG SOUND MIXER,9984,7854,BehringerXenyx502AnalogSoundMixer,1
Vishudh Printed Women's Straight Kurta,899.0,449.0,KTAEHE9K92ADDUNC,VishudhPrintedWomensStraightKurta,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,879,512,VishudhPrintedWomensStraightKurta,1
Vishudh Printed Women's Straight Kurta,899.0,449.0,KTAEHE9KNNU7RP4Z,VishudhPrintedWomensStraightKurta,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,879,534,VishudhPrintedWomensStraightKurta,1
MASARA Solid Women's Straight Kurta,1399.0,599.0,KTAEHETWZZ5KEAT9,MASARASolidWomensStraightKurta,MASARA SOLID WOMEN'S STRAIGHT KURTA,1382,711,MASARASolidWomensStraightKurta,1
MASARA Solid Women's Straight Kurta,1399.0,550.0,KTAEHETVCXXZRXGK,MASARASolidWomensStraightKurta,MASARA SOLID WOMEN'S STRAIGHT KURTA,1382,694,MASARASolidWomensStraightKurta,1
Roadster Men's Zipper Solid Cardigan,1399.0,699.0,CGNEDFY77SGZTEQ2,Clothing,ROADSTER MEN'S ZIPPER SOLID CARDIGAN,1380,887,Clothing,1
Vishudh Printed Women's Straight Kurta,999.0,499.0,KTAEHE9H9MVK42JA,VishudhPrintedWomensStraightKurta,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,995,638,VishudhPrintedWomensStraightKurta,1
Noor Embroidered Women's Straight Kurta,1649.0,849.0,KTAEHFQGFGMGGMUZ,NoorEmbroideredWomensStraightKurta,NOOR EMBROIDERED WOMEN'S STRAIGHT KURTA,1639,1041,NoorEmbroideredWomensStraightKurta,1
MASARA Solid Women's Straight Kurta,1399.0,599.0,KTAEHETW3ZCMFMJR,MASARASolidWomensStraightKurta,MASARA SOLID WOMEN'S STRAIGHT KURTA,1388,660,MASARASolidWomensStraightKurta,1
Vishudh Printed Women's Straight Kurta,899.0,449.0,KTAEHE9KFWXNYHFD,VishudhPrintedWomensStraightKurta,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,888,562,VishudhPrintedWomensStraightKurta,1
Libas Printed Women's A-line Kurta,899.0,449.0,KTAEGFPRCCS46ZMA,LibasPrintedWomensAlineKurta,LIBAS PRINTED WOMEN'S A-LINE KURTA,887,570,LibasPrintedWomensAlineKurta,1
Libas Printed Women's Anarkali Kurta,1849.0,924.0,KTAEG2EQ6GSJE8AG,LibasPrintedWomensAnarkaliKurta,LIBAS PRINTED WOMEN'S ANARKALI KURTA,1831,1142,LibasPrintedWomensAnarkaliKurta,1
MASARA Solid Women's Straight Kurta,999.0,499.0,KTAEHETWRNSWM4EF,MASARASolidWomensStraightKurta,MASARA SOLID WOMEN'S STRAIGHT KURTA,981,647,MASARASolidWomensStraightKurta,1
HRS ULTIMATE BOY Chest Pads,440.0,395.0,PADEHZFHMTEUP8YG,SportsFitness,HRS ULTIMATE BOY CHEST PADS,427,491,SportsFitness,1
Vermello Men Casual Brown Genuine Leather Belt,1495.0,795.0,BELEG6KUK6ZBFTZJ,BagsWalletsBelts,VERMELLO MEN CASUAL BROWN GENUINE LEATHER BELT,1488,918,BagsWalletsBelts,1
HRS CLUB BOY Thigh Pads,280.0,250.0,PADEHZFJGQNSEVKC,SportsFitness,HRS CLUB BOY THIGH PADS,273,298,SportsFitness,1
Ligans NY Men Formal Black Genuine Leather Belt,795.0,695.0,BELEG68SBMZFFN5Z,BagsWalletsBelts,LIGANS NY MEN FORMAL BLACK GENUINE LEATHER BELT,794,868,BagsWalletsBelts,1
Elegance Polyester Multicolor Abstract Eyelet Door Curtain,1899.0,899.0,CRNEG7BKMFFYHQ8Z,HomeFurnishing,ELEGANCE POLYESTER MULTICOLOR ABSTRACT EYELET DOOR CURTAIN,1898,1145,HomeFurnishing,1
Liza Women Wedges,1990.0,1393.0,SNDEG6EFWGBCURUT,Footwear,LIZA WOMEN WEDGES,1986,1707,Footwear,1
HRS ULTIMATE BOY Elbow Pads,250.0,230.0,PADEHZFHGHFQJAXV,SportsFitness,HRS ULTIMATE BOY ELBOW PADS,236,279,SportsFitness,1
Sathiyas Cotton Bath Towel,600.0,449.0,BTWEGFZHGBXPHZUH,BabyCare,SATHIYAS COTTON BATH TOWEL,582,568,BabyCare,1
HRS ULTIMATE MEN Chest Pads,440.0,395.0,PADEHZFHCNQGWNNS,SportsFitness,HRS ULTIMATE MEN CHEST PADS,435,474,SportsFitness,1
SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet,2699.0,1299.0,BDSEJT9UQWHDUBH4,HomeFurnishing,SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet,2695,1570,HomeFurnishing,1
CASEDEAL Microsoft Nokia lumia x2 Back Panel,1999.0,380.0,MBPEJMV5GAY9SZX5,MobilesAccessories,CASEDEAL Microsoft Nokia lumia x2 Back Panel,1989,472,MobilesAccessories,1
Mario Gotze Women's Printed Casual Orange Shirt,1499.0,899.0,SHTEJRCHC5KESPYX,Clothing,Mario Gotze Women's Printed Casual Orange Shirt,1486,1162,Clothing,1
Jaipur Print Cotton Floral King sized Double Bedsheet,2599.0,698.0,BDSEJTHNGWVGWWQU,HomeFurnishing,Jaipur Print Cotton Floral King sized Double Bedsheet,2595,864,HomeFurnishing,1
Shilpi NHSCN003 Coin Bank,900.0,650.0,CNBEJ9EDXWN8HQUU,PensStationery,Shilpi NHSCN003 Coin Bank,880,787,PensStationery,1
Jaipur Print Cotton Floral King sized Double Bedsheet,2599.0,698.0,BDSEJTHGGZH3HSJF,HomeFurnishing,Jaipur Print Cotton Floral King sized Double Bedsheet,2589,806,HomeFurnishing,1
Babeezworld Dungaree Baby Boy's  Combo,999.0,499.0,ACBEGNTVH7QYGJZU,BabyCare,Babeezworld Dungaree Baby Boy's  Combo,997,565,BabyCare,1
Redbag Eight Armed Goddess Sherawali Maa Showpiece  -  10.8 cm,1600.0,1200.0,SHIEJYHMR7DUKT8W,HomeDecorFestiveNeeds,Redbag Eight Armed Goddess Sherawali Maa Showpiece  -  10.8 cm,1590,1487,HomeDecorFestiveNeeds,1
"Proence Weight Gainers, Mass Gainers",1025.0,949.0,PSLEAVTQRYZP3YVG,FoodNutrition,"Proence Weight Gainers, Mass Gainers",1010,1107,FoodNutrition,1
Discountgod Men's Checkered Casual Shirt,750.0,590.0,SHTEBY72FGKPYBRU,Clothing,Discountgod Men's Checkered Casual Shirt,732,662,Clothing,1
Silver Streak Men's Printed Casual Denim Shirt,1299.0,599.0,SHTEB5MNYHJJQGBJ,Clothing,Silver Streak Men's Printed Casual Denim Shirt,1298,713,Clothing,1
"Cobra Paris CO6394A1 Analog Watch  - For Men, Boys",18995.0,15195.0,WATE3FAXGFHMASYX,Watches,"Cobra Paris CO6394A1 Analog Watch  - For Men, Boys",18981,16829,Watches,1
TEN TEN Women's Black Knee Length Boots Boots,4995.0,1995.0,SHOECK2FYYWUT4KM,Footwear,TEN TEN Women's Black Knee Length Boots Boots,4986,2581,Footwear,1
"Aries Gold G 729 S-BK Analog Watch  - For Men, Boys",13699.0,13099.0,WATECJ25SP6A7VD5,Watches,"Aries Gold G 729 S-BK Analog Watch  - For Men, Boys",13682,16407,Watches,1
Carlton Boots,3495.0,1223.0,SHOE7ZJ3GQN3ZHNS,Footwear,Carlton Boots,3484,1379,Footwear,1
Maserati Time R8851116001 Analog Watch  - For Boys,24400.0,24400.0,WATEAYAHJ8CUCAYM,Watches,Maserati Time R8851116001 Analog Watch  - For Boys,24393,30971,Watches,1
"Vizion 8503B-1RED Cold Light Digital Watch  - For Boys, Girls",1095.0,595.0,WATECV664H5MMGSQ,Watches,"Vizion 8503B-1RED Cold Light Digital Watch  - For Boys, Girls",1087,769,Watches,1
"Camerii WM64 Elegance Analog Watch  - For Men, Boys",1099.0,449.0,WATE6Y6D2MZHWGBZ,Watches,"Camerii WM64 Elegance Analog Watch  - For Men, Boys",1088,561,Watches,1
Reckler Slim Fit Men's Jeans,5398.0,2599.0,JEAECN2PWUKFA9GJ,Clothing,Reckler Slim Fit Men's Jeans,5383,3179,Clothing,1
Quechua Arpenaz Novadry Boots,2499.0,2250.0,SHOE4FZGGTE7HJXN,Footwear,Quechua Arpenaz Novadry Boots,2481,2748,Footwear,1
"Colat COLAT_MW20 Sheen Analog Watch  - For Men, Women, Boys, Girls",3999.0,849.0,WATE2RX9HHGBUQGA,Watches,"Colat COLAT_MW20 Sheen Analog Watch  - For Men, Women, Boys, Girls",3990,983,Watches,1
Steppings Trendy Boots,1799.0,719.0,SHOE2FQCE3QFC8ZM,Footwear,Steppings Trendy Boots,1791,844,Footwear,1
Rochees RW38 Analog Watch  - For Boys,1415.0,1202.0,WATED8HNQGUFBNFT,Watches,Rochees RW38 Analog Watch  - For Boys,1414,1357,Watches,1
"Rorlig RR-028 Expedition Analog Watch  - For Men, Boys",1099.0,399.0,WATEBYZGFCZPUJAR,Watches,"Rorlig RR-028 Expedition Analog Watch  - For Men, Boys",1084,468,Watches,1
Catwalk Boots,2095.0,999.0,SHOEA4HADYGNUZFM,Footwear,Catwalk Boots,2086,1283,Footwear,1
Magnum Footwear Lifestyle,3999.0,2099.0,SHOEBYZGZ682N4K2,Footwear,Magnum Footwear Lifestyle,3982,2586,Footwear,1
T STAR UFT-TSW-005-BK-BR Analog Watch  - For Boys,999.0,399.0,WATECFFVGFZPAD3D,Watches,T STAR UFT-TSW-005-BK-BR Analog Watch  - For Boys,990,469,Watches,1
Rialto Boots,3295.0,2795.0,SHOED5DCYU8HWRDH,Footwear,Rialto Boots,3275,3331,Footwear,1
Kielz Ladies Boots,2499.0,1249.0,SHOE2ZNGYDECUGNG,Footwear,Kielz Ladies Boots,2481,1583,Footwear,1
"Alfajr WY16B Youth Digital Watch  - For Men, Boys",5495.0,4995.0,WATECHFU4QGFQEJG,Watches,"Alfajr WY16B Youth Digital Watch  - For Men, Boys",5476,5916,Watches,1
La Briza Ashley Boots,2299.0,2299.0,SHOE2FBZENEBCZZD,Footwear,La Briza Ashley Boots,2296,2840,Footwear,1
"TAG Heuer CAU1116.BA0858 Formula 1 Analog Watch  - For Boys, Men",107750.0,107750.0,WATEA6UGFGKZKDJC,Watches,"TAG Heuer CAU1116.BA0858 Formula 1 Analog Watch  - For Boys, Men",107737,137323,Watches,1
Salt N Pepper 13-019 Femme Black Boots Boots,4195.0,3146.0,SHOE6ZQEB694PVM8,Footwear,Salt N Pepper 13-019 Femme Black Boots Boots,4176,3857,Footwear,1
Shuz Touch Boots,1499.0,1270.0,SHOEBKEYTHTVCMNX,Footwear,Shuz Touch Boots,1497,1651,Footwear,1
Wrangler Skanders Fit Men's Jeans,2795.0,1817.0,JEAEBMSEEGG26RPV,Clothing,Wrangler Skanders Fit Men's Jeans,2785,2254,Clothing,1
Steppings Trendy Boots,3199.0,1919.0,SHOE3S9BZ4SJUJFY,Footwear,Steppings Trendy Boots,3191,2295,Footwear,1
Salt N Pepper 14-664 Denny Black Boots Boots,4295.0,3221.0,SHOE6ZQE7K9W3ZX3,Footwear,Salt N Pepper 14-664 Denny Black Boots Boots,4283,3869,Footwear,1
"Costa Swiss CS-2001 Analog Watch  - For Boys, Men",1199.0,429.0,WATEBVHAWSYYS8EY,Watches,"Costa Swiss CS-2001 Analog Watch  - For Boys, Men",1189,513,Watches,1
Crocs Boots,3995.0,3995.0,SHOEBHZA5BXBKRDC,Footwear,Crocs Boots,3977,4845,Footwear,1
"Breitling AB011010/BB08 131S Chronomat 44 Analog Watch  - For Boys, Men",571230.0,571230.0,WATE9DX9E4YSRJSY,Watches,"Breitling AB011010/BB08 131S Chronomat 44 Analog Watch  - For Boys, Men",571223,726879,Watches,1
Lyc White Casual Boots,1199.0,899.0,SHOE4UC3MJZF3VFJ,Footwear,Lyc White Casual Boots,1195,1025,Footwear,1
Myra Comfortable Boots,1049.0,499.0,SHOEDH9AS48SSFBT,Footwear,Myra Comfortable Boots,1038,573,Footwear,1
"Calibro SW-125 Analog-Digital Watch  - For Men, Boys",2000.0,699.0,WATECGPSDSFRHUSY,Watches,"Calibro SW-125 Analog-Digital Watch  - For Men, Boys",1991,896,Watches,1
Get Glamr Designer Uggy Boots,3499.0,2799.0,SHOEC8QGWFF2VXAN,Footwear,Get Glamr Designer Uggy Boots,3487,3180,Footwear,1
Kielz Ladies Boots,2299.0,899.0,SHOEF9G8EWYMM2AM,Footwear,Kielz Ladies Boots,2295,1019,Footwear,1
Kielz Ladies Boots,1999.0,999.0,SHOEF9G8X3SG6GHX,Footwear,Kielz Ladies Boots,1996,1187,Footwear,1
Rochees RW50 Analog Watch  - For Boys,1120.0,952.0,WATED8GHH7HRVGRK,Watches,Rochees RW50 Analog Watch  - For Boys,1110,1225,Watches,1
Kielz Ladies Boots,2799.0,1299.0,SHOEF9G8ZHHCMHTW,Footwear,Kielz Ladies Boots,2780,1529,Footwear,1
Salt N Pepper 13-516 Greta Red Boots,3495.0,2621.0,SHODUMFYM8ZHSJBG,Footwear,Salt N Pepper 13-516 Greta Red Boots,3475,3380,Footwear,1
Fluid DMF-002-GR01 Digital Watch  - For Boys,1699.0,849.0,WATE4CG2AQAGWGSF,Watches,Fluid DMF-002-GR01 Digital Watch  - For Boys,1682,1026,Watches,1
Steppings Trendy Boots,1599.0,639.0,SHOE2FQCKJDCP9ZW,Footwear,Steppings Trendy Boots,1587,825,Footwear,1
Rialto Boots,3295.0,2395.0,SHOED5DC2GSMQMHU,Footwear,Rialto Boots,3292,2738,Footwear,1
"Rorlig RR-030 Essentials Analog Watch  - For Men, Boys",1099.0,399.0,WATEBYZGCFGUP9HG,Watches,"Rorlig RR-030 Essentials Analog Watch  - For Men, Boys",1085,472,Watches,1
Wrangler Regular Fit Men's Jeans,3295.0,1812.0,JEAE9PP49AH6PQCW,Clothing,Wrangler Regular Fit Men's Jeans,3279,2305,Clothing,1
Steppings Trendy Boots,3499.0,2274.0,SHOE3S9BGUAGYE5X,Footwear,Steppings Trendy Boots,3492,2874,Footwear,1
"Disney DW100230 Digital Watch  - For Boys, Girls",350.0,350.0,WATE3GEY74QU9T35,Watches,"Disney DW100230 Digital Watch  - For Boys, Girls",342,386,Watches,1
Salt N Pepper 13-167 Marsha Red Boots,3695.0,2771.0,SHODUMFYYW5YGRQN,Footwear,Salt N Pepper 13-167 Marsha Red Boots,3692,3441,Footwear,1
"Cartier W6701005 Analog Watch  - For Boys, Men",201000.0,201000.0,WATEAK8SE2RUK7GM,Watches,"Cartier W6701005 Analog Watch  - For Boys, Men",200990,246928,Watches,1
Bruno Manetti Cannelita Boots,3399.0,1359.0,SHOEYGK5AYYBVXKH,Footwear,Bruno Manetti Cannelita Boots,3394,1564,Footwear,1
Stylistry Maxis Shde6603brwoboot3104 Boots,2199.0,1599.0,SHOEFZ37XDUHHTZW,Footwear,Stylistry Maxis Shde6603brwoboot3104 Boots,2185,1785,Footwear,1
"Lois Caron LCS-4032 Analog Watch  - For Boys, Men",1200.0,399.0,WATED53FKKH4S8E4,Watches,"Lois Caron LCS-4032 Analog Watch  - For Boys, Men",1181,444,Watches,1
"Felix Y 39 Analog Watch  - For Boys, Men",1550.0,525.0,WATEBMY8HWCHMZZ5,Watches,"Felix Y 39 Analog Watch  - For Boys, Men",1536,602,Watches,1
Kielz Boots,2999.0,2399.0,SHOECS7FBGSEPW9G,Footwear,Kielz Boots,2987,2706,Footwear,1
Kielz Ladies Boots,2299.0,899.0,SHOEFMRZQXHJREHH,Footwear,Kielz Ladies Boots,2295,1116,Footwear,1
Sakay Country Leather Boots,3999.0,3499.0,SHOE69E6HYVG8MKU,Footwear,Sakay Country Leather Boots,3980,3877,Footwear,1
La Briza Black Boots,2299.0,2069.0,SHOE4KACKB28FTHD,Footwear,La Briza Black Boots,2282,2385,Footwear,1
"Kool Kidz DMK-012-QU02 Analog Watch  - For Girls, Boys",375.0,263.0,WATDZDGRQBXTKHPW,Watches,"Kool Kidz DMK-012-QU02 Analog Watch  - For Girls, Boys",362,324,Watches,1
"Franck Bella FB0128B Analog Watch  - For Men, Boys",1199.0,959.0,WATEBH9BTJXD8UVV,Watches,"Franck Bella FB0128B Analog Watch  - For Men, Boys",1180,1229,Watches,1
Steppings Trendy Boots,2199.0,1099.0,SHOE2GUHSZRGGZYY,Footwear,Steppings Trendy Boots,2198,1415,Footwear,1
"Kool Kidz DMK-003-YL 03 Analog Watch  - For Girls, Boys",475.0,333.0,WATDUK7DKXV8WCAW,Watches,"Kool Kidz DMK-003-YL 03 Analog Watch  - For Girls, Boys",466,368,Watches,1
